Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
13/10/21 17:30,13/10/21 18:00,30,Zoom,0,1
13/10/21 18:00,13/10/21 18:30,30,Zoom,0,1
14/10/21 8:00,14/10/21 8:45,45,Zoom,1,0
14/10/21 8:00,14/10/21 8:30,30,Zoom,1,0
14/10/21 8:00,14/10/21 9:00,60,Zoom,1,1
14/10/21 9:30,14/10/21 10:00,30,Zoom,0,1
14/10/21 11:00,14/10/21 11:45,45,Zoom,0,1
14/10/21 12:30,14/10/21 13:30,60,Zoom,0,1
14/10/21 16:00,14/10/21 19:30,210,Zoom,0,1
15/10/21 8:00,15/10/21 9:00,60,Zoom,0,1
15/10/21 9:00,15/10/21 9:15,15,Zoom,0,0
15/10/21 11:15,15/10/21 11:45,30,Zoom,0,0
15/10/21 12:00,15/10/21 12:30,30,Zoom,0,1
15/10/21 14:30,15/10/21 15:00,30,Zoom,0,1
15/10/21 15:00,15/10/21 15:30,30,Zoom,0,1
15/10/21 15:30,15/10/21 16:00,30,Zoom,0,1
15/10/21 16:00,15/10/21 17:00,60,Zoom,0,1
15/10/21 17:00,15/10/21 17:30,30,Zoom,0,0
18/10/21 8:00,18/10/21 9:00,60,Zoom,0,0
18/10/21 8:30,18/10/21 9:00,30,Zoom,0,1
18/10/21 9:00,18/10/21 9:15,15,Zoom,0,1
18/10/21 9:30,18/10/21 10:30,60,Zoom,0,0
18/10/21 11:00,18/10/21 12:00,60,Zoom,1,1
18/10/21 11:00,18/10/21 11:30,30,Zoom,1,0
18/10/21 11:30,18/10/21 12:00,30,Zoom,0,1
18/10/21 12:00,18/10/21 14:00,120,Zoom,0,1
18/10/21 17:00,18/10/21 17:30,30,Zoom,0,1
19/10/21 7:00,19/10/21 8:00,60,Zoom,0,1
19/10/21 8:00,19/10/21 9:00,60,Zoom,0,1
19/10/21 10:00,19/10/21 10:30,30,Zoom,0,1
19/10/21 11:00,19/10/21 11:30,30,Zoom,1,1
19/10/21 11:00,19/10/21 11:30,30,Zoom,1,0
19/10/21 11:15,19/10/21 11:45,30,Zoom,0,0
19/10/21 14:30,19/10/21 15:00,30,Zoom,0,1
19/10/21 15:00,19/10/21 15:30,30,Zoom,1,0
19/10/21 15:00,19/10/21 15:30,30,Zoom,1,0
19/10/21 15:30,19/10/21 16:00,30,Zoom,0,0
19/10/21 16:00,19/10/21 19:30,210,Zoom,0,1
20/10/21 7:30,20/10/21 8:00,30,Zoom,0,0
20/10/21 8:00,20/10/21 9:00,60,Zoom,0,0
20/10/21 8:30,20/10/21 9:00,30,Zoom,0,1
20/10/21 9:00,20/10/21 9:15,15,Zoom,0,1
20/10/21 10:15,20/10/21 10:45,30,Zoom,0,1
20/10/21 11:00,20/10/21 12:00,60,Zoom,0,1
20/10/21 12:00,20/10/21 12:30,30,Zoom,0,1
20/10/21 14:00,20/10/21 14:30,30,Zoom,1,0
20/10/21 14:00,20/10/21 18:00,240,Zoom,1,1
20/10/21 17:00,20/10/21 18:00,60,Zoom,1,0
20/10/21 17:00,20/10/21 18:00,60,Zoom,1,0
